set,MWa,logKowb,Mptc,LogSaqd,LogSoce,Hdf,Hag,Texpi,Skin thicknessj,logJmaxm
t,316.42,1.83,345.0,-5.963008408768615,-4.133008408768615,2.0,8.0,305.0,0.1,-9.533171027781329
t,197.191,0.661,401.0,-6.203705142551964,-5.542705142551965,3.0,5.0,305.0,0.075,-7.874293994240627
t,197.191,0.661,401.0,-6.203705142551964,-5.542705142551965,3.0,5.0,305.0,0.128,-8.526415566529595
t,266.0,-1.77,428.0,-4.923801196637062,-6.693801196637063,4.0,5.0,310.0,0.1,-8.890377441150113
t,190.19,1.474,363.0,-4.592982499339028,-3.118982499339028,0.0,3.0,305.0,0.128,-5.512136416321632
t,190.19,1.474,363.0,-4.592982499339028,-3.118982499339028,0.0,3.0,305.0,0.075,-5.374762642451559
t,304.35001,3.77,393.0,-6.730590724570798,-2.9605907245707983,0.0,6.0,310.0,0.1,-8.791071471952181
t*,150.22,2.33,300.5,-4.679283364976197,-2.3492833649761957,1.0,1.0,310.0,0.1,-5.760205272600122
t*,460.6,4.48,388.0,-8.252004638822987,-3.7720046388229855,2.0,6.0,310.0,0.01,-10.252004638822987
t,272.36,0.24,479.75,-5.432847946497508,-5.192847946497508,3.0,5.0,305.0,0.1,-9.426296337410859
t,272.36,0.24,479.75,-5.432847946497508,-5.192847946497508,3.0,5.0,305.0,0.1,-9.435636363665003
t,272.36,0.24,479.75,-5.432847946497508,-5.192847946497508,3.0,5.0,305.0,0.1,-9.458244154410476
t,272.36,0.24,479.75,-5.432847946497508,-5.192847946497508,3.0,5.0,305.0,0.1,-9.451663809099154
t,272.36,0.24,479.75,-5.432847946497508,-5.192847946497508,3.0,5.0,305.0,0.1,-9.607032501512304
t,272.36,0.24,479.75,-5.432847946497508,-5.192847946497508,3.0,5.0,305.0,0.1,-8.534122764908014
t,272.36,0.24,479.75,-5.432847946497508,-5.192847946497508,3.0,5.0,305.0,0.1,-9.752693804763135
t,272.36,0.24,479.75,-5.432847946497508,-5.192847946497508,3.0,5.0,305.0,0.1,-9.61271082054022
t,309.4,-1.06,403.0,-4.358073898560588,-5.418073898560588,4.0,5.0,310.0,0.1,-8.459348716971094
t,336.5,3.93,361.0,-6.086186147616283,-2.1561861476162827,0.0,3.0,310.0,0.1,-8.064996848546345
t,336.5,3.93,361.0,-6.086186147616283,-2.1561861476162827,0.0,3.0,310.0,0.1,-8.033107704132863
t,278.42999,6.52,261.7,-9.35129432663134,-2.8312943266313395,1.0,2.0,310.0,0.1,-11.783092602564345
t,150.0,3.28,276.5,-5.053875380782855,-1.7738753807828542,1.0,1.0,305.0,0.1,-6.307241181845276
t*,392.464,2.06,535.0,-6.593799825875174,-4.533799825875174,3.0,5.0,298.0,0.1,-10.787619851891288
t,346.5,1.76,454.0,-6.2076083105017466,-4.447608310501746,2.0,4.0,300.0,0.1,-9.473483166174239
t,346.5,1.76,454.0,-6.229147988357856,-4.4691479883578555,2.0,4.0,299.0,0.1,-10.450996737974211
t,346.5,1.76,454.0,-6.2441251443275085,-4.484125144327509,2.0,4.0,298.0,0.01,-10.919842689029815
t,346.5,1.76,454.0,-6.040958607678906,-4.280958607678906,2.0,4.0,312.0,0.1,-8.626833463351398
t,346.0,1.76,454.0,-6.2441251443275085,-4.484125144327509,2.0,4.0,298.0,0.1,-9.767003889607846
t,346.5,1.76,454.0,-6.2076083105017466,-4.447608310501746,2.0,4.0,298.0,0.1,-9.730487055782083
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-9.008555458052612
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.823509356344005
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-8.500868211667346
t,346.5,1.76,454.0,-6.070007937139805,-4.3100079371398055,2.0,4.0,310.0,0.1,-7.9586109877941995
